,HJ2A_1,HJ2A_2,HJ2A_3,HJ2A_4,HJ2A_5
0,0.00534,0.00753,0.00942,0.00466,0.0076
1,0.00444,0.00669,0.00776,0.00213,0.00578
2,0.00655,0.00915,0.01166,0.01316,0.00898
3,0.00546,0.0088,0.01302,0.03307,0.01065
4,0.00574,0.00879,0.00965,0.00188,0.00736
5,0.00545,0.00748,0.00864,0.00385,0.00643
6,0.0042,0.00675,0.00943,0.01017,0.00672
7,0.00572,0.0087,0.01131,0.01684,0.00787
8,0.00551,0.01027,0.01365,0.00233,0.0095
9,0.00362,0.00701,0.01008,0.00273,0.00703
10,0.00512,0.00863,0.01149,0.00594,0.0092
11,0.00525,0.00915,0.01215,0.00364,0.00885
12,0.00451,0.00831,0.01076,0.00226,0.00743
13,0.00352,0.00606,0.00821,0.00186,0.00632
14,0.0033,0.00561,0.00745,0.0014,0.00529
15,0.00159,0.00437,0.00727,0.00103,0.00543
16,0.00832,0.01745,0.02295,0.00499,0.01614
17,0.01045,0.02206,0.02745,0.00488,0.01919
18,0.00266,0.00686,0.01066,0.00299,0.008
19,0.00249,0.00589,0.00902,0.00153,0.00667
20,0.00376,0.00934,0.01296,0.00169,0.00886
21,0.00484,0.01194,0.01657,0.00219,0.01127
22,0.00236,0.00621,0.00841,0.00099,0.00545
23,0.00301,0.00688,0.00897,0.00102,0.00569
24,0.00162,0.00421,0.00654,0.00123,0.00498
25,0.00199,0.00475,0.00825,0.00922,0.00613
26,0.00233,0.0058,0.00931,0.01985,0.00633
27,0.01544,0.02572,0.01561,0.00123,0.00715
28,0.0081,0.0134,0.00805,0.00057,0.00376
29,0.00851,0.01375,0.00802,0.00065,0.00372
30,0.00804,0.01356,0.00795,0.00054,0.00355
31,0.00948,0.01602,0.00895,0.00059,0.00381
32,0.01389,0.02421,0.01264,0.00077,0.0049
33,0.01167,0.02074,0.01078,0.00061,0.00416
34,0.00962,0.01641,0.00925,0.00057,0.0039
35,0.01179,0.02036,0.01075,0.00065,0.00434
36,0.01054,0.01792,0.00962,0.00059,0.00396
37,0.01155,0.02052,0.01055,0.00062,0.00429
38,0.01045,0.0186,0.0092,0.00039,0.00368
39,0.00585,0.01001,0.00534,0.00021,0.00224
40,0.01108,0.01914,0.01088,0.0007,0.00486
41,0.0091,0.01543,0.00873,0.00061,0.00398
42,0.00782,0.01283,0.00752,0.00057,0.00349
43,0.00782,0.01323,0.0083,0.00067,0.00401
44,0.00827,0.01399,0.00833,0.00062,0.00388
45,0.00955,0.0168,0.0095,0.00058,0.00404
46,0.01105,0.01997,0.01049,0.00057,0.00408
47,0.01443,0.02652,0.01345,0.00067,0.00496
48,0.00819,0.01455,0.00842,0.00051,0.00367
49,0.0097,0.01795,0.00991,0.00052,0.00389
50,0.00881,0.01492,0.00831,0.00045,0.00361
51,0.01081,0.01907,0.01022,0.00054,0.00412
52,0.01065,0.0181,0.00941,0.0005,0.00354
53,0.01207,0.0206,0.01011,0.00061,0.00388
54,0.01254,0.02187,0.01139,0.00053,0.00447
55,0.01082,0.01828,0.00948,0.00056,0.00395
56,0.01063,0.01829,0.00993,0.00062,0.00428
57,0.01585,0.02961,0.02374,0.00201,0.01172
58,0.01995,0.03517,0.02858,0.00298,0.01545
59,0.04137,0.06973,0.07318,0.01099,0.04957
60,0.0112,0.01982,0.01717,0.00175,0.00918
61,0.01438,0.0249,0.01949,0.00188,0.0102
62,0.0102,0.01615,0.01116,0.00103,0.0054
63,0.00859,0.0173,0.01548,0.001,0.0075
64,0.01929,0.03166,0.02495,0.00262,0.01398
65,0.02727,0.05012,0.04153,0.00361,0.02225
66,0.04311,0.07191,0.06956,0.00851,0.04525
67,0.03522,0.05879,0.04605,0.00488,0.02687
68,0.0243,0.04345,0.02861,0.00246,0.01436
69,0.02104,0.03837,0.02735,0.00225,0.01411
70,0.02077,0.03694,0.02726,0.00247,0.0139
71,0.02576,0.04402,0.03259,0.0033,0.0177
72,0.00921,0.01541,0.01417,0.00122,0.00617
73,0.02776,0.04696,0.03643,0.00333,0.01927
74,0.01333,0.02162,0.01624,0.00166,0.00796
75,0.0668,0.11566,0.13133,0.02921,0.09872
76,0.07579,0.12466,0.14083,0.03757,0.11008
77,0.07244,0.11891,0.13492,0.03735,0.10428
78,0.07704,0.12657,0.14456,0.03942,0.11262
