OID,Country,Zone,Lake name,Date and Time (UTC+8),Longitude,Latitude,Elevation_asl,Type,Platform,Formation,Hydrology,Area,,,,,,,,,,,,,,,,,,,,,,,
OID_1,China,1,Lake Baiyangdian,"2021_05_26 12:52:03
",116.0125008,38.93577627,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_2,China,1,Lake Baiyangdian,"2021_05_26 13:09:50
",115.9982551,38.9433795,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_3,China,1,Lake Baiyangdian,"2021_05_26 13:17:41
",115.9933029,38.94680678,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_4,China,1,Lake Baiyangdian,"2021_05_26 13:32:03
",115.9875189,38.94995627,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_5,China,1,Lake Baiyangdian,"2021_05_26 13:40:54
",115.9863671,38.94660408,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_6,China,1,Lake Baiyangdian,"2021_05_26 13:49:53
",115.9865756,38.94308747,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_7,China,1,Lake Baiyangdian,"2021_05_26 13:55:38
",115.9880036,38.94204443,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_8,China,1,Lake Baiyangdian,"2021_05_26 14:01:34
",115.9909755,38.94248577,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_9,China,1,Lake Baiyangdian,"2021_05_27 11:32:20
",116.0163886,38.82925486,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_10,China,1,Lake Baiyangdian,"2021_05_27 11:43:39
",116.0102905,38.82831208,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_11,China,1,Lake Baiyangdian,"2021_05_27 11:53:11
",116.0018224,38.83401082,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_12,China,1,Lake Baiyangdian,"2021_05_27 12:19:15
",116.030624,38.82867767,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_13,China,1,Lake Baiyangdian,"2021_05_27 12:33:31
",116.0349075,38.84971805,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_14,China,1,Lake Baiyangdian,"2021_05_27 12:43:42
",116.0260032,38.85364573,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_15,China,1,Lake Baiyangdian,"2021_05_27 12:55:42
",116.0370809,38.87261513,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_16,China,1,Lake Baiyangdian,"2021_05_28 10:40:38
",116.0338591,38.86757383,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_17,China,1,Lake Baiyangdian,"2021_05_28 10:51:06
",116.0378184,38.86640178,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_18,China,1,Lake Baiyangdian,"2021_05_28 10:58:53
",116.0368308,38.86337361,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_19,China,1,Lake Baiyangdian,"2021_05_28 11:10:05
",116.0336061,38.86237248,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_20,China,1,Lake Baiyangdian,"2021_05_28 11:27:49
",116.0317109,38.8636781,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_21,China,1,Lake Baiyangdian,"2021_05_28 11:40:22
",116.0431064,38.87524736,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_22,China,1,Lake Baiyangdian,"2021_05_28 11:49:39
",116.0462891,38.87861597,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_23,China,1,Lake Baiyangdian,"2021_05_28 11:59:48
",116.0567356,38.87616397,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_24,China,1,Lake Baiyangdian,"2021_05_28 12:07:33
",116.0589751,38.87103482,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_25,China,1,Lake Baiyangdian,"2021_05_28 12:24:44
",116.0306609,38.89950912,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_26,China,1,Lake Baiyangdian,"2021_05_28 12:54:23
",115.9976366,38.95007543,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_27,China,1,Lake Baiyangdian,"2021_05_28 13:11:00
",115.9972725,38.94173929,7,III,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,
OID_28,China,3,Lake Bosten,"2021_09_14 12:01:24
",87.04468743,41.94149047,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_29,China,3,Lake Bosten,"2021_09_14 12:38:43
",87.02387066,41.99640653,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_30,China,3,Lake Bosten,"2021_09_14 13:09:26
",86.96567304,42.0002551,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_31,China,3,Lake Bosten,"2021_09_14 13:38:12
",87.00636262,42.03789216,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_32,China,3,Lake Bosten,"2021_09_14 13:59:04
",86.96617557,42.04372753,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_33,China,3,Lake Bosten,"2021_09_14 14:23:10
",86.92479973,42.05942071,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_34,China,3,Lake Bosten,"2021_09_14 14:56:16
",86.90132847,42.03283928,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_35,China,3,Lake Bosten,"2021_09_14 15:27:24
",86.91114476,41.99592969,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_36,China,3,Lake Bosten,"2021_09_14 15:57:58
",86.86206699,41.98548691,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_37,China,3,Lake Bosten,"2021_09_14 16:22:13
",86.81909522,41.9605417,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_38,China,3,Lake Bosten,"2021_09_14 16:42:07
",86.82122504,41.92819094,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_39,China,3,Lake Bosten,"2021_09_14 16:58:43
",86.83915707,41.90966233,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_40,China,3,Lake Bosten,"2021_09_14 18:06:45
",86.91262952,41.96171285,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_41,China,3,Lake Bosten,"2021_09_15 11:35:56
",87.04196788,41.93952824,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_42,China,3,Lake Bosten,"2021_09_15 11:51:38
",87.05571878,41.99434328,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_43,China,3,Lake Bosten,"2021_09_15 12:12:04
",86.99351238,41.94732804,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_44,China,3,Lake Bosten,"2021_09_15 12:25:12
",86.94449661,41.95535683,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_45,China,3,Lake Bosten,"2021_09_15 12:42:04
",87.00799501,42.00415952,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_46,China,3,Lake Bosten,"2021_09_15 12:56:01
",87.02284328,42.05490681,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_47,China,3,Lake Bosten,"2021_09_15 13:07:53
",86.97330146,42.06318739,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_48,China,3,Lake Bosten,"2021_09_15 13:19:09
",86.92524753,42.0695732,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_49,China,3,Lake Bosten,"2021_09_15 13:36:25
",86.95633582,42.00917,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_50,China,3,Lake Bosten,"2021_09_15 13:49:29
",86.90975008,42.01618658,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_51,China,3,Lake Bosten,"2021_09_15 14:07:15
",86.89461233,41.96097619,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_52,China,3,Lake Bosten,"2021_09_15 14:19:27
",86.84529037,41.96826374,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_53,China,3,Lake Bosten,"2021_09_15 14:33:29
",86.78012917,41.94210803,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_54,China,3,Lake Bosten,"2021_09_15 14:43:01
",86.78232111,41.92183129,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_55,China,3,Lake Bosten,"2021_09_15 14:52:42
",86.78120749,41.89854358,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_56,China,3,Lake Bosten,"2021_09_15 15:04:05
",86.83184838,41.91451682,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_57,China,3,Lake Bosten,"2021_09_15 15:15:59
",86.88090839,41.90837927,1050,III,1,1,1,1003,,,,,,,,,,,,,,,,,,,,,,,
OID_58,China,3,Lake Butbaruch,2023_07_20 10:48:00,96.89731,37.31097,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_59,China,3,Lake Butbaruch,2023_07_20 11:05:00,96.90401,37.30445,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_60,China,3,Lake Butbaruch,2023_07_20 11:16:00,96.91472,37.29785,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_61,China,3,Lake Butbaruch,2023_07_20 11:51:00,96.91995,37.27987,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_62,China,3,Lake Butbaruch,2023_07_20 12:01:00,96.90978,37.28566,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_63,China,3,Lake Butbaruch,2023_07_20 12:09:00,96.90013,37.27514,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_64,China,3,Lake Butbaruch,2023_07_20 12:37:00,96.89922,37.2573,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_65,China,3,Lake Butbaruch,2023_07_20 12:55:00,96.8898,37.26491,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_66,China,3,Lake Butbaruch,2023_07_20 13:05:00,96.87486,37.2634,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_67,China,3,Lake Butbaruch,2023_07_20 13:15:00,96.86301,37.2601,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_68,China,3,Lake Butbaruch,2023_07_20 13:25:00,96.86752,37.26949,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_69,China,3,Lake Butbaruch,2023_07_20 13:34:00,96.87199,37.28613,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_70,China,3,Lake Butbaruch,2023_07_20 13:43:00,96.88676,37.2824,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_71,China,3,Lake Butbaruch,2023_07_20 13:50:00,96.89188,37.29024,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_72,China,3,Lake Butbaruch,2023_07_20 14:03:00,96.86916,37.29846,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_73,China,3,Lake Butbaruch,2023_07_20 14:13:00,96.87099,37.31126,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_74,China,3,Lake Butbaruch,2023_07_20 14:21:00,96.86737,37.3214,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_75,China,3,Lake Butbaruch,2023_07_20 14:30:00,96.88506,37.30426,2841,III,1,1,1,53,,,,,,,,,,,,,,,,,,,,,,,
OID_76,China,4,Lake Chagan,2021_05_26 10:48:00,124.218067,45.305547,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_77,China,4,Lake Chagan,2021_05_26 11:14:00,124.237778,45.287725,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_78,China,4,Lake Chagan,2021_05_26 11:26:00,124.20936,45.277623,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_79,China,4,Lake Chagan,2021_05_26 11:38:00,124.214397,45.24915,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_80,China,4,Lake Chagan,2021_05_26 12:02:00,124.279085,45.283346,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_81,China,4,Lake Chagan,2021_05_26 12:11:00,124.3056,45.265106,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_82,China,4,Lake Chagan,2021_05_26 12:15:00,124.276865,45.244863,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_83,China,4,Lake Chagan,2021_05_26 12:36:00,124.248465,45.230743,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_84,China,4,Lake Chagan,2021_05_26 12:45:00,124.268597,45.212907,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_85,China,4,Lake Chagan,2021_05_26 12:58:00,124.308342,45.233177,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_86,China,4,Lake Chagan,2021_05_26 13:12:00,124.351202,45.254438,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_87,China,4,Lake Chagan,2021_05_26 13:22:00,124.382165,45.234967,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_88,China,4,Lake Chagan,2021_05_26 13:32:00,124.34645,45.225045,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_89,China,4,Lake Chagan,2021_05_26 14:10:00,124.323805,45.184602,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_90,China,4,Lake Chagan,2021_05_26 14:21:00,124.363485,45.200592,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_91,China,4,Lake Chagan,2021_05_26 14:32:00,124.391587,45.213611,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_92,China,4,Lake Chagan,2021_07_18 12:40:00,124.255986,45.304211,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_93,China,4,Lake Chagan,2021_07_18 12:17:00,124.238403,45.286986,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_94,China,4,Lake Chagan,2021_07_18 12:03:00,124.207754,45.276763,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_95,China,4,Lake Chagan,2021_07_18 11:37:00,124.214319,45.247991,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_96,China,4,Lake Chagan,2021_07_18 11:49:00,124.250062,45.265607,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_97,China,4,Lake Chagan,2021_07_18 12:54:00,124.278915,45.283821,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_98,China,4,Lake Chagan,2021_07_18 13:07:00,124.306099,45.265837,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_99,China,4,Lake Chagan,2021_07_18 11:10:00,124.277548,45.245856,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_100,China,4,Lake Chagan,2021_07_18 10:44:00,124.269919,45.212637,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_101,China,4,Lake Chagan,2021_07_18 11:01:00,124.306148,45.233665,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_102,China,4,Lake Chagan,2021_07_18 13:44:00,124.381109,45.233869,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_103,China,4,Lake Chagan,2021_07_18 13:30:00,124.344786,45.225469,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_104,China,4,Lake Chagan,2021_07_18 10:20:00,124.307046,45.207531,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_105,China,4,Lake Chagan,2021_07_18 10:33:00,124.282395,45.189976,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_106,China,4,Lake Chagan,2021_07_18 10:06:00,124.323463,45.183854,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_107,China,4,Lake Chagan,2021_07_18 09:49:00,124.372209,45.204931,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_108,China,4,Lake Chagan,2021_07_18 09:38:00,124.390315,45.213582,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_109,China,4,Lake Chagan,2021_08_31 13:02:00,124.21828,45.305442,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_110,China,4,Lake Chagan,2021_08_31 13:13:00,124.25638,45.30483,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_111,China,4,Lake Chagan,2021_08_31 12:51:00,124.239652,45.287251,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_112,China,4,Lake Chagan,2021_08_31 12:40:00,124.2077,45.277953,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
OID_113,China,4,Lake Chagan,2021_08_31 12:15:00,124.246628,45.267231,127,IV,1,1,1,294,,,,,,,,,,,,,,,,,,,,,,,
